Ic,Noise_1Hz,Noise_1kHz
5.1133875384143315e-08,9.400760187270121e-08,9.400137419516261e-08
5.184593543892913e-08,9.335991705983209e-08,9.335362880582796e-08
5.256791122018419e-08,9.271669633956323e-08,9.27103469199276e-08
5.329994080844093e-08,9.207790896048496e-08,9.207149778032325e-08
5.404216420705915e-08,9.144352438318588e-08,9.143705084181924e-08
5.4794723369002925e-08,9.081351227879224e-08,9.080697576970133e-08
5.555776222398878e-08,9.01878425275188e-08,9.018124243828706e-08
5.6331426706013516e-08,8.956648521722834e-08,8.955982092948463e-08
5.711586478126435e-08,8.894941064200217e-08,8.894268153136302e-08
5.791122647641758e-08,8.833658930072005e-08,8.832979473673122e-08
5.871766390733261e-08,8.772799189564968e-08,8.772113124172712e-08
5.9535331308143704e-08,8.71235893310465e-08,8.711666194441691e-08
6.036438506075864e-08,8.65233527117625e-08,8.651635794340313e-08
6.120498372476703e-08,8.592725334186511e-08,8.592019053644304e-08
6.2057288067765e-08,8.53352627232656e-08,8.532813121907654e-08
6.29214610961035e-08,8.474735255435645e-08,8.474015168326272e-08
6.379766808606282e-08,8.416349472865881e-08,8.415622381602695e-08
6.46860766154632e-08,8.358366133347865e-08,8.357631969811631e-08
6.558685659571435e-08,8.300782464857255e-08,8.300041160266473e-08
6.650018030431118e-08,8.243595714482298e-08,8.242847199386777e-08
6.742622241778349e-08,8.186803148292163e-08,8.186047352566523e-08
6.836516004510239e-08,8.130402051206337e-08,8.129638904043453e-08
6.931717276155401e-08,8.07438972686477e-08,8.07361915676915e-08
7.028244264308353e-08,8.018763497499024e-08,8.017985432280122e-08
7.126115430111745e-08,7.963520703804275e-08,7.962735070569745e-08
7.225349491787222e-08,7.908658704812166e-08,7.907865429961043e-08
7.32596542821523e-08,7.854174877764606e-08,7.853373886980434e-08
7.427982482564911e-08,7.800066617988369e-08,7.799257836232237e-08
7.531420165974376e-08,7.746331338770591e-08,7.745514690274131e-08
7.636298261282242e-08,7.692966471235169e-08,7.692141879493468e-08
7.742636826811277e-08,7.639969464219896e-08,7.639136851984344e-08
7.85045620020451e-08,7.587337784154589e-08,7.586497073425662e-08
7.959777002314978e-08,7.535068914939937e-08,7.534220026959902e-08
8.070620141149507e-08,7.483160357827243e-08,7.482303213072796e-08
8.18300681586739e-08,7.431609631299011e-08,7.430744149473851e-08
8.296958520834915e-08,7.380414270950295e-08,7.379540370977614e-08
8.412497049736118e-08,7.329571829370949e-08,7.328689429385855e-08
8.529644499741017e-08,7.279079876028595e-08,7.278188893370465e-08
8.648423275731727e-08,7.228935997152469e-08,7.228036348357224e-08
8.768856094587427e-08,7.179137795618085e-08,7.17822939641039e-08
8.890965989529167e-08,7.129682890832588e-08,7.128765656117974e-08
9.014776314524918e-08,7.080568918621034e-08,7.079642762477954e-08
9.140310748756223e-08,7.031793531113344e-08,7.030858366785139e-08
9.267593301146884e-08,6.983354396632094e-08,6.982410136518899e-08
9.396648314954691e-08,6.935249199581098e-08,6.934295755231647e-08
9.5275004724273e-08,6.887475640334686e-08,6.886512922438049e-08
9.660174799522646e-08,6.840031435127832e-08,6.839059353505083e-08
9.794696670695386e-08,6.792914315946965e-08,6.791932779542755e-08
9.931091813749801e-08,6.746122030421584e-08,6.745130947295631e-08
1.0069386314760271e-07,6.699652341716626e-08,6.698651619035133e-08
1.0209606623060475e-07,6.653503028425508e-08,6.652492572452498e-08
1.0351779556301762e-07,6.607671884464016e-08,6.606651600552568e-08
1.0495932305582266e-07,6.562156718964814e-08,6.561126511548233e-08
1.0642092440647246e-07,6.51695535617275e-08,6.515915128755642e-08
1.0790287915161836e-07,6.472065635340901e-08,6.471015290490167e-08
1.0940547072057436e-07,6.427485410627247e-08,6.426424849962978e-08
1.1092898648952227e-07,6.383212550992172e-08,6.382141675178477e-08
1.1247371783647508e-07,6.339244940096568e-08,6.338163648832289e-08
1.140399601970033e-07,6.29558047620071e-08,6.29448866821007e-08
1.1562801312073753e-07,6.252217072063831e-08,6.251114645086976e-08
1.1723818032865998e-07,6.209152654844324e-08,6.20803950562778e-08
1.1887076977119033e-07,6.166385166000726e-08,6.165261190287763e-08
1.2052609368708414e-07,6.123912561193293e-08,6.1227776537142e-08
1.2220446866314887e-07,6.08173281018633e-08,6.080586864648585e-08
1.2390621569479157e-07,6.039843896751167e-08,6.038686805829528e-08
1.2563166024741214e-07,5.998243818569779e-08,5.997075473896266e-08
1.2738113231864784e-07,5.9569305871391236e-08,5.955750879292911e-08
1.2915496650148827e-07,5.915902227676091e-08,5.914711046173298e-08
1.3095350204826676e-07,5.8751567790231354e-08,5.873954012306525e-08
1.3277708293554292e-07,5.834692293554578e-08,5.833477828983151e-08
1.346260579298911e-07,5.794506837083495e-08,5.7932805609219826e-08
1.365007806546014e-07,5.754598488769324e-08,5.7533602861775857e-08
1.38401609657313e-07,5.7149653410260445e-08,5.7137150960483566e-08
1.4032890847858732e-07,5.675605499431031e-08,5.6743430949852787e-08
1.422830457214352e-07,5.636517082634544e-08,5.635242400501301e-08
1.442643951218159e-07,5.597698222269788e-08,5.5964111430813043e-08
1.4627333562011298e-07,5.559147062863674e-08,5.557847466092742e-08
1.483102514336103e-07,5.520861761748123e-08,5.519549525696847e-08
1.5037553212997384e-07,5.482840488972025e-08,5.4815154907604784e-08
1.524695727017573e-07,5.445081427213814e-08,5.443743542768591e-08
1.5459277364194786e-07,5.407582771694596e-08,5.406231875737248e-08
1.567455410205595e-07,5.370342730091949e-08,5.368978696127316e-08
1.5892828656229764e-07,5.333359522454243e-08,5.331982222758665e-08
1.61141427725302e-07,5.2966313811156155e-08,5.2952406867250373e-08
1.6338538778098603e-07,5.260156550611514e-08,5.258752331309475e-08
1.6566059589499153e-07,5.223933287594783e-08,5.2225154119002884e-08
1.6796748720926532e-07,5.187959860752414e-08,5.186528195907693e-08
1.7030650292528427e-07,5.152234550722784e-08,5.1507889626809226e-08
1.7267809038843559e-07,5.116755650013514e-08,5.1152960034259824e-08
1.7508270317357234e-07,5.081521462919911e-08,5.08004762112396e-08
1.775208011717636e-07,5.0465303054439075e-08,5.045042130449848e-08
1.7999285067824766e-07,5.01178050521365e-08,5.010277857692012e-08
1.8249932448161506e-07,4.9772704014035564e-08,4.97575314067212e-08
1.850407019542302e-07,4.942998344654984e-08,4.941466328665693e-08
1.8761746914391194e-07,4.908962696997443e-08,4.9074157823231864e-08
1.9023011886689458e-07,4.875161831770313e-08,4.873599873591583e-08
1.9287915080207776e-07,4.841594133545157e-08,4.840016985636581e-08
1.955650715865947e-07,4.8082579980485234e-08,4.8066655127652585e-08
1.9828839491270713e-07,4.7751518320853084e-08,4.7735438603493185e-08
2.010496416260497e-07,4.742274053462662e-08,4.740650444748854e-08
2.038493398252464e-07,4.709623090914372e-08,4.7079836932365994e-08
2.066880249629082e-07,4.67719738402583e-08,4.67554204392277e-08
2.095662399480431e-07,4.6449953831594704e-08,4.643323945680356e-08
2.124845352498883e-07,4.61301554938074e-08,4.6113278580709655e-08
2.1544346900318822e-07,4.5812563543846104e-08,4.579552251271188e-08
2.1844360711494285e-07,4.54971628042253e-08,4.5479956059994206e-08
2.2148552337263594e-07,4.5183938202299714e-08,4.5166564134432616e-08
2.2456979955397717e-07,4.4872874769543866e-08,4.485533175187337e-08
2.27697025538168e-07,4.456395764083727e-08,4.454624403141667e-08
2.3086779941871675e-07,4.425717205375458e-08,4.4239286194705414e-08
2.3408272761782944e-07,4.395250334786001e-08,4.393444356521815e-08
2.373424250023866e-07,4.364993696400748e-08,4.3631701567567804e-08
2.406475150015422e-07,4.334945844364494e-08,4.333104572680441e-08
2.43998629725955e-07,4.305105342812391e-08,4.3032461667723255e-08
2.473964100886812e-07,4.275470765801372e-08,4.273593511417755e-08
2.508415059277541e-07,4.2460406972420195e-08,4.244145188839566e-08
