VB, IT, IB, IC, VT, beta, Rpt100
 0.92240000000000011, 0.001, 4.6666100000000008E-08, 3.73071E-06, 0.020393500000000002, 79.9447564720428, 20.393500000000003
 0.9197, 0.001, 3.75714E-08, 2.56744E-06, 0.0203945, 68.3349569087125, 20.3945
 0.9169, 0.001, 3.01128E-08, 1.73065E-06, 0.020391, 57.472237719508, 20.391
 0.9142, 0.001, 2.45432E-08, 1.18953E-06, 0.0203915, 48.4667850972978, 20.391499999999997
 0.91150000000000009, 0.001, 1.99923E-08, 8.1668699999999991E-07, 0.020394000000000002, 40.8500772797527, 20.394000000000002
 0.90879999999999994, 0.001, 1.62124E-08, 5.59641E-07, 0.0203945, 34.5193185462979, 20.3945
 0.9061, 0.001, 1.33549E-08, 3.87744E-07, 0.020396, 29.0338377674112, 20.396
 0.90340000000000009, 0.001, 1.093E-08, 2.65559E-07, 0.020395500000000004, 24.296340347666998, 20.395500000000002
 0.90070000000000006, 0.001, 8.9070400000000011E-09, 1.8135E-07, 0.020390500000000002, 20.3602992688929, 20.3905
 0.89800000000000013, 0.001, 7.2437E-09, 1.24109E-07, 0.020389499999999998, 17.1333710672722, 20.389499999999998
 0.8953, 0.001, 5.9641300000000006E-09, 8.4944000000000009E-08, 0.0203915, 14.2424796240189, 20.391499999999997
 0.89250000000000007, 0.001, 4.8437400000000009E-09, 5.7531E-08, 0.0203915, 11.877392263003399, 20.391499999999997
 0.8898, 0.001, 3.88906E-09, 3.9375E-08, 0.020390000000000002, 10.124554519601102, 20.39
 0.88710000000000011, 0.001, 3.1820300000000004E-09, 2.6995E-08, 0.020390500000000002, 8.48357809322979, 20.3905
 0.8844, 0.001, 2.57691E-09, 1.8469E-08, 0.0203885, 7.16711099727969, 20.3885
 0.8817, 0.001, 2.0633200000000003E-09, 1.2630999999999999E-08, 0.020389499999999998, 6.12168737762441, 20.389499999999998
 0.879, 0.001, 1.6838800000000002E-09, 8.642E-09, 0.020388000000000003, 5.13219469320854, 20.388
 0.87630000000000008, 0.001, 1.36621E-09, 6.0370000000000006E-09, 0.0203875, 4.41879359688481, 20.3875
 0.87360000000000015, 0.001, 1.08977E-09, 4.081E-09, 0.020386500000000002, 3.74482689007772, 20.3865
 0.8708, 0.001, 8.91818E-10, 2.8E-09, 0.020392, 3.13965405497534, 20.392000000000003
 0.8681, 0.001, 7.24934E-10, 1.9550000000000004E-09, 0.020396, 2.69679722567848, 20.396
 0.86540000000000006, 0.001, 6.00334E-10, 1.3170000000000001E-09, 0.0203925, 2.19377879646997, 20.3925
 0.86270000000000013, 0.001, 4.85516E-10, 9.6400000000000019E-10, 0.020393500000000002, 1.9855164402409, 20.393500000000003
 0.86, 0.001, 3.98994E-10, 7.04E-10, 0.020390000000000002, 1.76443756046457, 20.39
