Rptat2 ,input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
38.0189E3,9.95013E-9,9.67602E-9,9.65391E-9,9.65215E-9
37.1535E3,9.84504E-9,9.56767E-9,9.54529E-9,9.54351E-9
36.3078E3,9.74122E-9,9.46056E-9,9.43791E-9,9.43611E-9
35.4813E3,9.63867E-9,9.35467E-9,9.33174E-9,9.32992E-9
34.6737E3,9.53736E-9,9.24999E-9,9.22678E-9,9.22494E-9
33.8844E3,9.43729E-9,9.14650E-9,9.12301E-9,9.12114E-9
33.1131E3,9.33845E-9,9.04420E-9,9.02041E-9,9.01852E-9
32.3594E3,9.24081E-9,8.94306E-9,8.91898E-9,8.91707E-9
31.6228E3,9.14437E-9,8.84308E-9,8.81870E-9,8.81677E-9
30.9030E3,9.04912E-9,8.74424E-9,8.71956E-9,8.71760E-9
30.1995E3,8.95504E-9,8.64652E-9,8.62154E-9,8.61956E-9
29.5121E3,8.86212E-9,8.54993E-9,8.52464E-9,8.52263E-9
28.8403E3,8.77034E-9,8.45444E-9,8.42884E-9,8.42680E-9
28.1838E3,8.67971E-9,8.36004E-9,8.33412E-9,8.33206E-9
27.5423E3,8.59020E-9,8.26671E-9,8.24047E-9,8.23839E-9
26.9153E3,8.50180E-9,8.17446E-9,8.14789E-9,8.14578E-9
26.3027E3,8.41450E-9,8.08326E-9,8.05637E-9,8.05423E-9
25.7040E3,8.32830E-9,7.99311E-9,7.96588E-9,7.96371E-9
25.1189E3,8.24317E-9,7.90398E-9,7.87641E-9,7.87422E-9
24.5471E3,8.15911E-9,7.81588E-9,7.78797E-9,7.78575E-9
23.9883E3,8.07610E-9,7.72878E-9,7.70052E-9,7.69828E-9
23.4423E3,7.99415E-9,7.64269E-9,7.61407E-9,7.61180E-9
22.9087E3,7.91322E-9,7.55758E-9,7.52861E-9,7.52630E-9
22.3872E3,7.83332E-9,7.47344E-9,7.44411E-9,7.44177E-9
21.8776E3,7.75444E-9,7.39027E-9,7.36057E-9,7.35821E-9
21.3796E3,7.67656E-9,7.30805E-9,7.27798E-9,7.27559E-9
20.8930E3,7.59967E-9,7.22678E-9,7.19633E-9,7.19391E-9
20.4174E3,7.52377E-9,7.14644E-9,7.11561E-9,7.11315E-9
19.9526E3,7.44884E-9,7.06702E-9,7.03580E-9,7.03331E-9
19.4984E3,7.37487E-9,6.98851E-9,6.95690E-9,6.95438E-9
19.0546E3,7.30186E-9,6.91090E-9,6.87890E-9,6.87635E-9
18.6209E3,7.22979E-9,6.83419E-9,6.80178E-9,6.79920E-9
18.1970E3,7.15865E-9,6.75835E-9,6.72554E-9,6.72292E-9
17.7828E3,7.08844E-9,6.68339E-9,6.65016E-9,6.64751E-9
17.3780E3,7.01914E-9,6.60929E-9,6.57564E-9,6.57296E-9
16.9824E3,6.95075E-9,6.53604E-9,6.50197E-9,6.49925E-9
16.5959E3,6.88326E-9,6.46364E-9,6.42913E-9,6.42638E-9
16.2181E3,6.81665E-9,6.39207E-9,6.35712E-9,6.35434E-9
15.8489E3,6.75093E-9,6.32132E-9,6.28593E-9,6.28311E-9
15.4882E3,6.68607E-9,6.25138E-9,6.21555E-9,6.21270E-9
15.1356E3,6.62208E-9,6.18226E-9,6.14597E-9,6.14308E-9
14.7911E3,6.55894E-9,6.11392E-9,6.07718E-9,6.07425E-9
14.4544E3,6.49664E-9,6.04638E-9,6.00917E-9,6.00620E-9
14.1254E3,6.43518E-9,5.97962E-9,5.94193E-9,5.93893E-9
13.8038E3,6.37455E-9,5.91362E-9,5.87546E-9,5.87242E-9
13.4896E3,6.31473E-9,5.84839E-9,5.80974E-9,5.80666E-9
13.1826E3,6.25573E-9,5.78391E-9,5.74477E-9,5.74165E-9
12.8825E3,6.19753E-9,5.72017E-9,5.68054E-9,5.67738E-9
12.5893E3,6.14012E-9,5.65718E-9,5.61703E-9,5.61383E-9
12.3027E3,6.08350E-9,5.59491E-9,5.55425E-9,5.55101E-9
12.0226E3,6.02766E-9,5.53336E-9,5.49218E-9,5.48890E-9
11.7490E3,5.97259E-9,5.47252E-9,5.43082E-9,5.42749E-9
11.4815E3,5.91829E-9,5.41238E-9,5.37015E-9,5.36679E-9
11.2202E3,5.86474E-9,5.35294E-9,5.31018E-9,5.30676E-9
10.9648E3,5.81194E-9,5.29419E-9,5.25088E-9,5.24742E-9
10.7152E3,5.75989E-9,5.23613E-9,5.19226E-9,5.18876E-9
10.4713E3,5.70856E-9,5.17873E-9,5.13430E-9,5.13076E-9
10.2329E3,5.65796E-9,5.12200E-9,5.07700E-9,5.07341E-9
10.0000E3,5.60809E-9,5.06593E-9,5.02035E-9,5.01672E-9
9.77237E3,5.55892E-9,5.01051E-9,4.96435E-9,4.96066E-9
9.54993E3,5.51046E-9,4.95573E-9,4.90898E-9,4.90525E-9
