Rptat2 ,/R31/PLUS (A),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
6.45654E3,28.7774E-6,4.05041E-9,4.04741E-9,4.04717E-9,4.04715E-9
6.30957E3,29.4317E-6,4.00551E-9,4.00233E-9,4.00208E-9,4.00206E-9
6.16595E3,30.1008E-6,3.96114E-9,3.95776E-9,3.95749E-9,3.95747E-9
6.02560E3,30.7850E-6,3.91727E-9,3.91370E-9,3.91341E-9,3.91339E-9
5.88844E3,31.4847E-6,3.87392E-9,3.87013E-9,3.86983E-9,3.86980E-9
5.75440E3,32.2002E-6,3.83107E-9,3.82705E-9,3.82674E-9,3.82671E-9
5.62341E3,32.9320E-6,3.78872E-9,3.78447E-9,3.78413E-9,3.78410E-9
5.49541E3,33.6803E-6,3.74687E-9,3.74236E-9,3.74200E-9,3.74197E-9
5.37032E3,34.4455E-6,3.70551E-9,3.70073E-9,3.70035E-9,3.70032E-9
5.24807E3,35.2281E-6,3.66463E-9,3.65957E-9,3.65917E-9,3.65914E-9
5.12861E3,36.0283E-6,3.62424E-9,3.61888E-9,3.61845E-9,3.61842E-9
5.01187E3,36.8467E-6,3.58433E-9,3.57864E-9,3.57819E-9,3.57816E-9
4.89779E3,37.6836E-6,3.54488E-9,3.53886E-9,3.53839E-9,3.53835E-9
4.78630E3,38.5395E-6,3.50591E-9,3.49953E-9,3.49903E-9,3.49899E-9
4.67735E3,39.4148E-6,3.46741E-9,3.46065E-9,3.46011E-9,3.46007E-9
4.57088E3,40.3099E-6,3.42936E-9,3.42220E-9,3.42163E-9,3.42159E-9
4.46684E3,41.2252E-6,3.39178E-9,3.38419E-9,3.38359E-9,3.38354E-9
4.36516E3,42.1613E-6,3.35465E-9,3.34661E-9,3.34597E-9,3.34592E-9
4.26580E3,43.1186E-6,3.31797E-9,3.30945E-9,3.30878E-9,3.30872E-9
4.16869E3,44.0976E-6,3.28174E-9,3.27272E-9,3.27200E-9,3.27194E-9
4.07380E3,45.0987E-6,3.24596E-9,3.23640E-9,3.23564E-9,3.23557E-9
3.98107E3,46.1226E-6,3.21062E-9,3.20049E-9,3.19968E-9,3.19962E-9
3.89045E3,47.1696E-6,3.17572E-9,3.16498E-9,3.16413E-9,3.16406E-9
3.80189E3,48.2404E-6,3.14126E-9,3.12988E-9,3.12897E-9,3.12890E-9
3.71535E3,49.3355E-6,3.10723E-9,3.09518E-9,3.09422E-9,3.09414E-9
3.63078E3,50.4554E-6,3.07364E-9,3.06086E-9,3.05985E-9,3.05977E-9
3.54813E3,51.6007E-6,3.04047E-9,3.02694E-9,3.02586E-9,3.02578E-9
3.46737E3,52.7720E-6,3.00774E-9,2.99340E-9,2.99226E-9,2.99217E-9
3.38844E3,53.9698E-6,2.97544E-9,2.96025E-9,2.95904E-9,2.95894E-9
3.31131E3,55.1948E-6,2.94356E-9,2.92746E-9,2.92618E-9,2.92608E-9
3.23594E3,56.4477E-6,2.91211E-9,2.89506E-9,2.89370E-9,2.89359E-9
3.16228E3,57.7289E-6,2.88108E-9,2.86302E-9,2.86158E-9,2.86146E-9
3.09030E3,59.0393E-6,2.85048E-9,2.83134E-9,2.82981E-9,2.82969E-9
3.01995E3,60.3794E-6,2.82030E-9,2.80002E-9,2.79841E-9,2.79828E-9
2.95121E3,61.7499E-6,2.79054E-9,2.76907E-9,2.76735E-9,2.76722E-9
2.88403E3,63.1516E-6,2.76121E-9,2.73846E-9,2.73665E-9,2.73650E-9
2.81838E3,64.5851E-6,2.73231E-9,2.70821E-9,2.70628E-9,2.70613E-9
2.75423E3,66.0513E-6,2.70383E-9,2.67830E-9,2.67626E-9,2.67610E-9
2.69153E3,67.5507E-6,2.67578E-9,2.64873E-9,2.64657E-9,2.64640E-9
2.63027E3,69.0842E-6,2.64816E-9,2.61950E-9,2.61721E-9,2.61703E-9
2.57040E3,70.6526E-6,2.62096E-9,2.59061E-9,2.58819E-9,2.58799E-9
2.51189E3,72.2567E-6,2.59420E-9,2.56205E-9,2.55948E-9,2.55928E-9
2.45471E3,73.8973E-6,2.56788E-9,2.53383E-9,2.53110E-9,2.53088E-9
2.39883E3,75.5752E-6,2.54199E-9,2.50592E-9,2.50304E-9,2.50281E-9
2.34423E3,77.2913E-6,2.51655E-9,2.47834E-9,2.47529E-9,2.47504E-9
2.29087E3,79.0464E-6,2.49155E-9,2.45109E-9,2.44784E-9,2.44759E-9
2.23872E3,80.8416E-6,2.46700E-9,2.42415E-9,2.42071E-9,2.42044E-9
2.18776E3,82.6776E-6,2.44290E-9,2.39752E-9,2.39388E-9,2.39359E-9
2.13796E3,84.5555E-6,2.41926E-9,2.37121E-9,2.36735E-9,2.36704E-9
2.08930E3,86.4762E-6,2.39609E-9,2.34521E-9,2.34112E-9,2.34079E-9
2.04174E3,88.4406E-6,2.37339E-9,2.31951E-9,2.31518E-9,2.31483E-9
1.99526E3,90.4499E-6,2.35117E-9,2.29412E-9,2.28953E-9,2.28916E-9
1.94984E3,92.5049E-6,2.32944E-9,2.26903E-9,2.26417E-9,2.26378E-9
1.90546E3,94.6069E-6,2.30819E-9,2.24424E-9,2.23909E-9,2.23868E-9
1.86209E3,96.7568E-6,2.28745E-9,2.21976E-9,2.21429E-9,2.21385E-9
1.81970E3,98.9558E-6,2.26722E-9,2.19556E-9,2.18977E-9,2.18931E-9
1.77828E3,101.205E-6,2.24751E-9,2.17166E-9,2.16552E-9,2.16504E-9
1.73780E3,103.506E-6,2.22833E-9,2.14806E-9,2.14155E-9,2.14103E-9
1.69824E3,105.859E-6,2.20970E-9,2.12474E-9,2.11785E-9,2.11730E-9
1.65959E3,108.266E-6,2.19161E-9,2.10172E-9,2.09441E-9,2.09383E-9
1.62181E3,110.728E-6,2.17409E-9,2.07898E-9,2.07124E-9,2.07062E-9
1.58489E3,113.246E-6,2.15716E-9,2.05653E-9,2.04832E-9,2.04767E-9
1.54882E3,115.822E-6,2.14081E-9,2.03436E-9,2.02566E-9,2.02497E-9
1.51356E3,118.456E-6,2.12507E-9,2.01248E-9,2.00326E-9,2.00253E-9
1.47911E3,121.151E-6,2.10995E-9,1.99088E-9,1.98111E-9,1.98034E-9
1.44544E3,123.908E-6,2.09548E-9,1.96956E-9,1.95922E-9,1.95839E-9
1.41254E3,126.728E-6,2.08165E-9,1.94853E-9,1.93756E-9,1.93669E-9
1.38038E3,129.612E-6,2.06850E-9,1.92778E-9,1.91616E-9,1.91523E-9
1.34896E3,132.562E-6,2.05605E-9,1.90731E-9,1.89499E-9,1.89401E-9
1.31826E3,135.580E-6,2.04430E-9,1.88712E-9,1.87407E-9,1.87303E-9
1.28825E3,138.668E-6,2.03328E-9,1.86721E-9,1.85338E-9,1.85228E-9
1.25893E3,141.826E-6,2.02301E-9,1.84758E-9,1.83293E-9,1.83176E-9
1.23027E3,145.056E-6,2.01352E-9,1.82824E-9,1.81271E-9,1.81147E-9
1.20226E3,148.360E-6,2.00481E-9,1.80917E-9,1.79272E-9,1.79141E-9
1.17490E3,151.740E-6,1.99692E-9,1.79039E-9,1.77296E-9,1.77157E-9
1.14815E3,155.198E-6,1.98988E-9,1.77190E-9,1.75342E-9,1.75195E-9
1.12202E3,158.735E-6,1.98369E-9,1.75369E-9,1.73411E-9,1.73255E-9
1.09648E3,162.354E-6,1.97839E-9,1.73577E-9,1.71503E-9,1.71337E-9
1.07152E3,166.055E-6,1.97400E-9,1.71813E-9,1.69616E-9,1.69440E-9
1.04713E3,169.842E-6,1.97055E-9,1.70079E-9,1.67751E-9,1.67564E-9
