f,noise
1.3366,3.4442471353397575e-09
1.33968,3.4406547569419036e-09
1.34276,3.437075129917626e-09
1.34586,3.4334850599687034e-09
1.34896,3.429907758617601e-09
1.35207,3.42633167379671e-09
1.35519,3.422756854482766e-09
1.35831,3.4191947458787938e-09
1.36144,3.415633918278949e-09
1.36458,3.4120744196867083e-09
1.36773,3.4085162976792346e-09
1.37088,3.404970834767126e-09
1.37404,3.401426762264282e-09
1.37721,3.3978841267973373e-09
1.38038,3.3943540904774455e-09
1.38357,3.390814427640621e-09
1.38676,3.3872873761562692e-09
1.38995,3.3837728630456576e-09
1.39316,3.380248898680368e-09
1.39637,3.3767374839332145e-09
1.39959,3.3732276655284007e-09
1.40281,3.3697303293546624e-09
1.40605,3.3662237964551824e-09
1.40929,3.3627297555012267e-09
1.41254,3.3592374076421253e-09
1.41579,3.3557574839138323e-09
1.41906,3.352268611750434e-09
1.42233,3.348792171953532e-09
1.42561,3.3453175179739124e-09
1.42889,3.3418552281609557e-09
1.43219,3.3383842320913556e-09
1.43549,3.334925606995645e-09
1.4388,3.3314688565185306e-09
1.44212,3.3280140208520437e-09
1.44544,3.324571490359732e-09
1.44877,3.321130880106191e-09
1.45211,3.3176922294589095e-09
1.45546,3.314255577410835e-09
1.45881,3.310831166450364e-09
1.46218,3.3073985906501533e-09
1.46555,3.3039782595017102e-09
1.46893,3.3005600069589493e-09
1.47231,3.2971539296364416e-09
1.47571,3.2937399103919124e-09
1.47911,3.2903380686633732e-09
1.48252,3.2869383819728225e-09
1.48594,3.283540886642058e-09
1.48936,3.2801554997432843e-09
1.49279,3.276772305277924e-09
1.49624,3.2733815280035186e-09
1.49968,3.270012635557004e-09
1.50314,3.2666362303816183e-09
1.50661,3.2632621578034143e-09
1.51008,3.2599001235262494e-09
1.51356,3.25654042076909e-09
1.51705,3.2531830833247836e-09
1.52055,3.249828144646385e-09
1.52405,3.2464851721219158e-09
1.52757,3.2431350958981045e-09
1.53109,3.2397969831782696e-09
1.53462,3.2364613321037053e-09
1.53815,3.2331375736766284e-09
1.5417,3.229806908226848e-09
1.54525,3.2264881317269255e-09
1.54882,3.223162578014078e-09
1.55239,3.219848908652043e-09
1.55597,3.2165378224581437e-09
1.55955,3.213238549234785e-09
1.56315,3.2099326874733984e-09
1.56675,3.206638633104439e-09
1.57036,3.2033472165456968e-09
1.57398,3.2000584672680783e-09
1.57761,3.19677241443098e-09
1.58125,3.193489086884004e-09
1.58489,3.19021748499751e-09
1.58855,3.1869396612399267e-09
1.59221,3.1836735553756792e-09
1.59588,3.180410223499478e-09
1.59956,3.1771496932337166e-09
1.60325,3.1738919919013243e-09
1.60694,3.1706459276994063e-09
1.61065,3.167393933580712e-09
1.61436,3.164153567171745e-09
1.61808,3.1609160737357945e-09
1.62181,3.1576814794171166e-09
1.62555,3.15444981007069e-09
1.6293,3.1512210912639025e-09
1.63305,3.1480039120553396e-09
1.63682,3.1447811392204055e-09
1.64059,3.1415698946352597e-09
1.64437,3.1383616392466082e-09
1.64816,3.135156397498994e-09
1.65196,3.131954193559369e-09
1.65577,3.1287550513187645e-09
1.65959,3.125558994393963e-09
1.66341,3.1223743679053165e-09
1.66725,3.1191845215558575e-09
1.67109,3.1160060921527392e-09
1.67494,3.1128307807424542e-09
1.6788,3.1096586098815238e-09
1.68267,3.106489601861991e-09
1.68655,3.1033237787130694e-09
1.69044,3.100161162202786e-09
1.69434,3.0970017738396274e-09
1.69824,3.0938536924009092e-09
1.70216,3.0907007949399115e-09
1.70608,3.0875591886241484e-09
1.71002,3.0844128654029614e-09
1.71396,3.0812778169112986e-09
1.71791,3.0781460634970198e-09
1.72187,3.075017625178601e-09
1.72584,3.071892521727703e-09
1.72982,3.0687707726707762e-09
1.7338,3.0656601987829994e-09
1.7378,3.0625451881462976e-09
1.74181,3.059433589120553e-09
1.74582,3.056333138184126e-09
1.74985,3.05322839013127e-09
1.75388,3.0501347714409706e-09
1.75792,3.047044582327189e-09
1.76198,3.043950232800412e-09
1.76604,3.04086698356338e-09
1.77011,3.037787216812907e-09
1.77419,3.0347109497577896e-09
1.77828,3.0316381993802138e-09
1.78238,3.02856898243731e-09
1.78649,3.025503315462705e-09
1.79061,3.0224412147680684e-09
1.79473,3.0193900887907732e-09
1.79887,3.016335142176598e-09
1.80302,3.0132838095513864e-09
1.80717,3.010243419431182e-09
1.81134,3.007199334622703e-09
1.81552,3.00415890956908e-09
1.8197,3.0011293936868725e-09
1.8239,2.9980963063399637e-09
1.8281,2.9950741053878092e-09
1.83231,2.99205557065745e-09
1.83654,2.9890335850332515e-09
1.84077,2.9860224508326015e-09
1.84502,2.983007944642657e-09
1.84927,2.980004265940261e-09
1.85353,2.9770043224410565e-09
1.8578,2.9740081273756093e-09
1.86209,2.971008714696955e-09
1.86638,2.9680200804559885e-09
1.87068,2.96503523307725e-09
1.87499,2.9620541850123048e-09
1.87932,2.9590700691821395e-09
1.88365,2.956096681039574e-09
1.88799,2.95312712833758e-09
1.89234,2.950161422771758e-09
1.89671,2.9471927948634488e-09
1.90108,2.944234842274049e-09
1.90546,2.9412807707145297e-09
1.90985,2.9383305911472173e-09
1.91426,2.9353776303368112e-09
1.91867,2.9324352909377864e-09
1.92309,2.9294968752591653e-09
1.92752,2.926562393552329e-09
1.93197,2.9236252674793424e-09
1.93642,2.9206987074492586e-09
1.94089,2.917769569923454e-09
1.94536,2.9148509701636317e-09
1.94984,2.9119363528765477e-09
1.95434,2.9090192565095393e-09
1.95884,2.9061126549341187e-09
1.96336,2.9032036386260685e-09
1.96789,2.9002986868447776e-09
1.97242,2.897404186020036e-09
1.97697,2.894507365118793e-09
1.98153,2.8916146333058904e-09
1.98609,2.888732307921489e-09
1.99067,2.8858477549344335e-09
1.99526,2.882967314178166e-09
1.99986,2.8800909930300174e-09
2.00447,2.877218798714926e-09
2.00909,2.8743507383067055e-09
2.01372,2.871486818729318e-09
2.01837,2.8686208945840596e-09
2.02302,2.8657652989945105e-09
2.02768,2.8629138640398672e-09
2.03236,2.8600605101291615e-09
2.03704,2.8572174372166526e-09
2.04174,2.85437250128653e-09
2.04644,2.8515378143001524e-09
2.05116,2.8487013193482226e-09
