Ic,Noise_1Hz,Noise_1kHz
4.41922e-06,1.025253456475207e-08,1.011226102893817e-08
4.52056e-06,1.014078117488007e-08,9.99829039033777e-09
4.62422e-06,1.0030351119848062e-08,9.885608849860953e-09
4.73025e-06,9.921233331734428e-09,9.77420490799785e-09
4.8387e-06,9.813417681351012e-09,9.664068021982811e-09
4.94963e-06,9.706885397342049e-09,9.55517881285076e-09
5.0631e-06,9.601619660736274e-09,9.447519877554817e-09
5.17916e-06,9.497614188259532e-09,9.341084580443167e-09
5.29787e-06,9.394854511686925e-09,9.235857910397708e-09
5.4193e-06,9.29331933898408e-09,9.131817849295696e-09
5.54349e-06,9.193013531167784e-09,9.028969172068737e-09
5.67053e-06,9.09390244864345e-09,8.927276149968875e-09
5.80047e-06,8.995985181750072e-09,8.826737627338458e-09
5.93337e-06,8.899253330116265e-09,8.727344772971587e-09
6.06931e-06,8.803685284431941e-09,8.629075171043097e-09
6.20835e-06,8.70927517241478e-09,8.531922567551835e-09
6.35057e-06,8.61600454251554e-09,8.435867758620994e-09
6.49603e-06,8.523869385713892e-09,8.340906400858582e-09
6.64482e-06,8.4328477252871e-09,8.247015625494674e-09
6.79699e-06,8.342943287219635e-09,8.154199064779325e-09
6.95264e-06,8.254130796481145e-09,8.062430415936653e-09
7.11184e-06,8.166404130633587e-09,7.971703132585918e-09
7.27467e-06,8.07975232201432e-09,7.882005659488142e-09
7.44121e-06,7.994165420935902e-09,7.793327487369982e-09
7.61155e-06,7.90962948289991e-09,7.705653956174843e-09
7.78578e-06,7.826131991731082e-09,7.618971866865316e-09
7.96397e-06,7.743670785588528e-09,7.53327876825482e-09
8.14622e-06,7.66223038231222e-09,7.448558371471511e-09
8.33263e-06,7.581796930233456e-09,7.364796054910394e-09
8.52329e-06,7.502362118319686e-09,7.2819829503034485e-09
8.71828e-06,7.423922301843302e-09,7.20011506092785e-09
8.91772e-06,7.346458630879283e-09,7.119172513998703e-09
9.1217e-06,7.269965427484316e-09,7.039149171420645e-09
9.33032e-06,7.194433823300895e-09,6.960035562227082e-09
9.5437e-06,7.119848863581067e-09,6.881815823221698e-09
9.76193e-06,7.04620716359546e-09,6.804486209933836e-09
9.98512e-06,6.9734990015138514e-09,6.728036333820371e-09
1.02134e-05,6.901709378385691e-09,6.652450235138451e-09
1.04469e-05,6.830824936825734e-09,6.57771364297786e-09
1.06856e-05,6.760876966256558e-09,6.503859424618506e-09
1.09298e-05,6.6918031183596994e-09,6.43082160295746e-09
1.11796e-05,6.623602712578041e-09,6.358599210779085e-09
1.1435e-05,6.5563007924246345e-09,6.2872186241650556e-09
1.16963e-05,6.489843636470776e-09,6.216622698108037e-09
1.19635e-05,6.424256803854143e-09,6.146838393410735e-09
1.22367e-05,6.3595387866491955e-09,6.077864027514952e-09
1.25162e-05,6.295642899616339e-09,6.00964968997772e-09
1.2802e-05,6.2325934855454255e-09,5.942221204683457e-09
