Ic,Noise_1Hz,Noise_1kHz
0.00138155,5.890387402716752e-09,6.145579108745904e-10
0.00141381,5.985356093931421e-09,6.094300063278264e-10
0.00144683,6.082357843277844e-09,6.044348803959604e-10
0.00148063,6.181412783265815e-09,5.995735753169828e-10
0.00151524,6.282570267473889e-09,5.948459852024413e-10
0.00155068,6.385850175187784e-09,5.902537065011765e-10
0.00158696,6.491243276643979e-09,5.857996649609677e-10
0.00162411,6.59879840493029e-09,5.81484386336963e-10
0.00166215,6.708535030329443e-09,5.773098309642125e-10
0.00170111,6.820501103114044e-09,5.732770441127163e-10
0.00174099,6.934658183697036e-09,5.693902206427292e-10
0.00178182,7.051053864036759e-09,5.65650483190397e-10
0.00182364,7.169763329247191e-09,5.620584083056028e-10
0.00186646,7.290775884524269e-09,5.586173762220328e-10
0.00191031,7.414137167755115e-09,5.553291148881605e-10
0.00195521,7.539864043291126e-09,5.521962353822123e-10
0.0020012,7.6680286483878e-09,5.492200893668925e-10
0.0020483,7.798646367620806e-09,5.464035389508789e-10
0.00209655,7.93178728133343e-09,5.437483402127115e-10
0.00214596,8.06743784352858e-09,5.412579971558218e-10
0.00219659,8.205720922232806e-09,5.389335645673045e-10
0.00224846,8.346648348767661e-09,5.367782744406362e-10
0.00230161,8.490285491068074e-09,5.347945276381188e-10
0.00235612,8.636803416680041e-09,5.329836663685826e-10
0.00241204,8.786289325611368e-09,5.313486376581488e-10
0.00246959,8.939278929753997e-09,5.298886483656979e-10
0.00252882,9.095847467638706e-09,5.286089980154425e-10
0.00259011,9.256932738459724e-09,5.27509720339612e-10
0.00265397,9.423788622366576e-09,5.265939007927286e-10
0.00272134,9.598750769062739e-09,5.258669386932906e-10
0.00279376,9.78563681871905e-09,5.253428475621145e-10
0.00287354,9.990122880356148e-09,5.250544474913211e-10
0.00296339,1.0218718744003375e-08,5.250672581243918e-10
0.00306435,1.0473495895167316e-08,5.254760410009572e-10
0.00317328,1.0745993498957443e-08,5.263466381076964e-10
0.00328581,1.1024980884618464e-08,5.27673494623216e-10
0.00340173,1.1309795843955381e-08,5.294539292807461e-10
0.00352419,1.160794332401867e-08,5.317489704721873e-10
0.00365577,1.192528040510509e-08,5.346440748771286e-10
0.0037966,1.2261602833957476e-08,5.381860192306959e-10
0.0039429,1.2607497458775637e-08,5.423002523318011e-10
0.00409241,1.2957457399712742e-08,5.469131942452963e-10
0.00424381,1.3308359785433174e-08,5.519592932127547e-10
0.00439616,1.3658069934827149e-08,5.573760819176627e-10
0.00454893,1.4005459847901354e-08,5.631118657993633e-10
0.00470201,1.4350382166162348e-08,5.691312814074877e-10
0.00485543,1.4693002972765942e-08,5.754074069352507e-10
0.00500926,1.5033567863903873e-08,5.819181903233634e-10
0.00516358,1.5372333407312204e-08,5.886449662656347e-10
0.00531846,1.5709523757736785e-08,5.955712128368293e-10
0.00547395,1.6045310841389883e-08,6.026816961553687e-10
0.00563005,1.637975270275808e-08,6.09960688919007e-10
0.00578677,1.671292518263573e-08,6.173944229417925e-10
0.00594405,1.704475322514507e-08,6.249670903240495e-10
0.00610182,1.7375141750065426e-08,6.326634346534124e-10
0.00625998,1.770393494117767e-08,6.40467653315468e-10
0.00641841,1.8030938935972827e-08,6.483637609766276e-10
0.00657695,1.835588221322749e-08,6.56334492984857e-10
0.00673543,1.86784789699888e-08,6.643627238665073e-10
0.00689364,1.899836894633211e-08,6.724299003934742e-10
0.00705138,1.9315219736623352e-08,6.805185418762849e-10
0.0072084,1.962860624162752e-08,6.886091484408605e-10
0.00736447,1.993815166254656e-08,6.966837667072144e-10
0.00751932,2.024340773457168e-08,7.047228843007769e-10
0.00767268,2.0543934624039765e-08,7.127074743611303e-10
0.0078243,2.0839339091097385e-08,7.20620033120514e-10
0.0079739,2.11291761393284e-08,7.2844196021644e-10
0.00812124,2.1413084506157314e-08,7.361571963294336e-10
0.00826607,2.1690688401670133e-08,7.437495943143089e-10
