freq (Hz),input noise; V / sqrt(Hz) Rptat2 175.5376  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 219.2198  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 438.4395  (V / sqrt(Hz)),input noise; V / sqrt(Hz) Rptat2 1753.758  (V / sqrt(Hz))
263.027,791.159E-12,841.579E-12,1.11763E-9,2.15841E-9
269.153,789.343E-12,840.405E-12,1.11727E-9,2.15832E-9
275.423,787.569E-12,839.258E-12,1.11692E-9,2.15822E-9
281.838,785.835E-12,838.139E-12,1.11658E-9,2.15813E-9
288.403,784.141E-12,837.047E-12,1.11625E-9,2.15804E-9
295.121,782.486E-12,835.980E-12,1.11593E-9,2.15796E-9
301.995,780.869E-12,834.939E-12,1.11561E-9,2.15787E-9
309.030,779.289E-12,833.922E-12,1.11530E-9,2.15779E-9
316.228,777.745E-12,832.930E-12,1.11500E-9,2.15771E-9
323.594,776.238E-12,831.962E-12,1.11471E-9,2.15763E-9
331.131,774.765E-12,831.016E-12,1.11442E-9,2.15756E-9
338.844,773.326E-12,830.093E-12,1.11414E-9,2.15748E-9
346.737,771.920E-12,829.193E-12,1.11387E-9,2.15741E-9
354.813,770.547E-12,828.313E-12,1.11360E-9,2.15734E-9
363.078,769.207E-12,827.455E-12,1.11334E-9,2.15727E-9
371.535,767.897E-12,826.618E-12,1.11309E-9,2.15720E-9
380.189,766.618E-12,825.801E-12,1.11285E-9,2.15714E-9
389.045,765.369E-12,825.003E-12,1.11261E-9,2.15707E-9
398.107,764.150E-12,824.224E-12,1.11237E-9,2.15701E-9
407.380,762.958E-12,823.465E-12,1.11214E-9,2.15695E-9
416.869,761.795E-12,822.723E-12,1.11192E-9,2.15689E-9
426.580,760.660E-12,822.000E-12,1.11170E-9,2.15683E-9
436.516,759.551E-12,821.294E-12,1.11149E-9,2.15678E-9
446.684,758.468E-12,820.605E-12,1.11128E-9,2.15672E-9
457.088,757.411E-12,819.933E-12,1.11108E-9,2.15667E-9
467.735,756.379E-12,819.277E-12,1.11089E-9,2.15662E-9
478.630,755.371E-12,818.637E-12,1.11069E-9,2.15657E-9
489.779,754.387E-12,818.012E-12,1.11051E-9,2.15652E-9
501.187,753.427E-12,817.403E-12,1.11033E-9,2.15647E-9
512.861,752.489E-12,816.808E-12,1.11015E-9,2.15642E-9
524.807,751.574E-12,816.228E-12,1.10998E-9,2.15638E-9
537.032,750.680E-12,815.662E-12,1.10981E-9,2.15633E-9
549.541,749.808E-12,815.110E-12,1.10964E-9,2.15629E-9
562.341,748.957E-12,814.571E-12,1.10948E-9,2.15625E-9
575.440,748.126E-12,814.045E-12,1.10932E-9,2.15620E-9
588.844,747.315E-12,813.533E-12,1.10917E-9,2.15616E-9
602.560,746.523E-12,813.032E-12,1.10902E-9,2.15612E-9
616.595,745.751E-12,812.544E-12,1.10888E-9,2.15609E-9
630.957,744.997E-12,812.068E-12,1.10874E-9,2.15605E-9
645.654,744.261E-12,811.603E-12,1.10860E-9,2.15601E-9
660.693,743.542E-12,811.150E-12,1.10846E-9,2.15598E-9
676.083,742.841E-12,810.708E-12,1.10833E-9,2.15594E-9
691.831,742.157E-12,810.277E-12,1.10820E-9,2.15591E-9
707.946,741.490E-12,809.856E-12,1.10808E-9,2.15587E-9
724.436,740.838E-12,809.446E-12,1.10796E-9,2.15584E-9
741.310,740.203E-12,809.046E-12,1.10784E-9,2.15581E-9
758.578,739.582E-12,808.655E-12,1.10772E-9,2.15578E-9
776.247,738.977E-12,808.274E-12,1.10761E-9,2.15575E-9
794.328,738.386E-12,807.903E-12,1.10750E-9,2.15572E-9
812.831,737.810E-12,807.540E-12,1.10739E-9,2.15569E-9
831.764,737.248E-12,807.187E-12,1.10729E-9,2.15566E-9
851.138,736.699E-12,806.842E-12,1.10719E-9,2.15564E-9
870.964,736.164E-12,806.505E-12,1.10709E-9,2.15561E-9
891.251,735.641E-12,806.177E-12,1.10699E-9,2.15559E-9
912.011,735.132E-12,805.857E-12,1.10690E-9,2.15556E-9
933.254,734.634E-12,805.545E-12,1.10680E-9,2.15554E-9
954.993,734.149E-12,805.241E-12,1.10671E-9,2.15551E-9
977.237,733.676E-12,804.944E-12,1.10663E-9,2.15549E-9
1.00000E3,733.214E-12,804.654E-12,1.10654E-9,2.15547E-9
1.02329E3,732.764E-12,804.372E-12,1.10646E-9,2.15545E-9
