Ic,Noise_1Hz,Noise_1kHz
2.491130026067791e-08,1.3467866873422624e-07,1.3467599092636245e-07
2.5258200269627847e-08,1.3375066783446692e-07,1.337479637916006e-07
2.560993100258457e-08,1.3282906206332235e-07,1.3282633152843194e-07
2.5966559729348726e-08,1.3191380735744543e-07,1.3191105007099162e-07
2.63281546564802e-08,1.310048599571642e-07,1.3100207565706517e-07
2.6694784940343234e-08,1.3010217640438874e-07,1.3009936482599533e-07
2.7066520700332412e-08,1.2920571354053478e-07,1.2920287441660528e-07
2.7443433032283627e-08,1.2831542850445893e-07,1.2831256156513375e-07
2.782559402207126e-08,1.274312787304102e-07,1.2742838370318627e-07
2.8213076759394707e-08,1.2655322194599524e-07,1.2655029855570007e-07
2.8605955351757447e-08,1.2568121617015641e-07,1.256782641389218e-07
2.9004304938639915e-08,1.2481521971116555e-07,1.2481223875840147e-07
2.9408201705870607e-08,1.2395519116463015e-07,1.2395218100699791e-07
2.981772290019673e-08,1.231010894115138e-07,1.2309804976289923e-07
3.0232946844057763e-08,1.2225287361617096e-07,1.22249804187657e-07
3.06539529505653e-08,1.2141050322439374e-07,1.214074037242333e-07
3.108082173869064e-08,1.2057393796147378e-07,1.2057080809506187e-07
3.151363484866476e-08,1.1974313783027616e-07,1.197399773001218e-07
3.1952475057592136e-08,1.189180631093272e-07,1.189148716150255e-07
3.239742629528195e-08,1.1809867435091627e-07,1.1809545158911946e-07
3.284857366030047e-08,1.1728493237920839e-07,1.1728167804359729e-07
3.330600343624589e-08,1.1647679828837263e-07,1.1647351206962745e-07
3.376980310825088e-08,1.1567423344072102e-07,1.1567091502649204e-07
3.424006137971426e-08,1.1487719946486178e-07,1.1487384853973959e-07
3.471686818926559e-08,1.1408565825386518e-07,1.1408227449935077e-07
3.520031472796683e-08,1.1329957196344064e-07,1.1329615505791515e-07
3.56904934567523e-08,1.1251890301012875e-07,1.1251545262882294e-07
3.6187498124112765e-08,1.1174361406950325e-07,1.1174012988446656e-07
3.669142378402494e-08,1.109736680743872e-07,1.109701497544567e-07
3.7202366814130656e-08,1.1020902821308108e-07,1.1020547542384996e-07
3.772042493417001e-08,1.0944965792760208e-07,1.0944607033138788e-07
3.8245697224669993e-08,1.0869552091193723e-07,1.0869189816774985e-07
3.877828414589453e-08,1.0794658111030694e-07,1.079429228738161e-07
3.93182875570577e-08,1.072028027154414e-07,1.0719910863894408e-07
3.9865810735804386e-08,1.0646415016686916e-07,1.0646041989925649e-07
4.04209583979631e-08,1.0573058814921625e-07,1.0572682133594019e-07
4.0983836717572616e-08,1.0500208159051866e-07,1.0499827787355834e-07
4.1554553347188797e-08,1.0427859566054479e-07,1.0427475467837244e-07
4.213321743847289e-08,1.03560095769131e-07,1.0355621715667777e-07
4.2719939663067766e-08,1.0284654756452741e-07,1.0284263095314845e-07
4.331483223376403e-08,1.0213791693175576e-07,1.0213396194919545e-07
4.391800892596086e-08,1.0143416999097874e-07,1.0143017626133523e-07
4.45295850994266e-08,1.0073527309587978e-07,1.0073124023956923e-07
4.514967772036102e-08,1.0004119283205493e-07,1.000371204657756e-07
4.5778405383766165e-08,9.935189601541507e-08,9.93477837521108e-08
4.641588833612782e-08,9.866734969059949e-08,9.866319713942307e-08
4.7062248498412815e-08,9.798752112940088e-08,9.798332789567675e-08
4.771760948938751e-08,9.73123778291998e-08,9.730814351438673e-08
4.8382096649259575e-08,9.66418875114118e-08,9.663761171306496e-08
4.905583706365045e-08,9.597601811994334e-08,9.59717004316762e-08
