Rptat2 ,input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz)),input noise; V / sqrt(Hz) (V / sqrt(Hz))
17.7828E3,7.08914E-9,6.68418E-9,6.65096E-9,6.64831E-9
17.3780E3,7.01984E-9,6.61007E-9,6.57643E-9,6.57375E-9
16.9824E3,6.95144E-9,6.53681E-9,6.50275E-9,6.50003E-9
16.5959E3,6.88393E-9,6.46440E-9,6.42990E-9,6.42715E-9
16.2181E3,6.81732E-9,6.39282E-9,6.35789E-9,6.35510E-9
15.8489E3,6.75159E-9,6.32206E-9,6.28669E-9,6.28387E-9
15.4882E3,6.68672E-9,6.25212E-9,6.21630E-9,6.21344E-9
15.1356E3,6.62272E-9,6.18299E-9,6.14671E-9,6.14382E-9
14.7911E3,6.55957E-9,6.11465E-9,6.07791E-9,6.07498E-9
14.4544E3,6.49726E-9,6.04710E-9,6.00989E-9,6.00693E-9
14.1254E3,6.43579E-9,5.98032E-9,5.94265E-9,5.93964E-9
13.8038E3,6.37515E-9,5.91432E-9,5.87617E-9,5.87313E-9
13.4896E3,6.31532E-9,5.84908E-9,5.81044E-9,5.80736E-9
13.1826E3,6.25631E-9,5.78459E-9,5.74546E-9,5.74234E-9
12.8825E3,6.19810E-9,5.72085E-9,5.68122E-9,5.67806E-9
12.5893E3,6.14069E-9,5.65784E-9,5.61771E-9,5.61451E-9
12.3027E3,6.08406E-9,5.59557E-9,5.55492E-9,5.55168E-9
12.0226E3,6.02821E-9,5.53401E-9,5.49285E-9,5.48956E-9
11.7490E3,5.97314E-9,5.47316E-9,5.43148E-9,5.42815E-9
11.4815E3,5.91883E-9,5.41302E-9,5.37080E-9,5.36743E-9
11.2202E3,5.86527E-9,5.35358E-9,5.31082E-9,5.30741E-9
10.9648E3,5.81246E-9,5.29482E-9,5.25151E-9,5.24806E-9
10.7152E3,5.76040E-9,5.23674E-9,5.19288E-9,5.18939E-9
10.4713E3,5.70906E-9,5.17934E-9,5.13492E-9,5.13138E-9
10.2329E3,5.65846E-9,5.12260E-9,5.07762E-9,5.07402E-9
10.0000E3,5.60857E-9,5.06653E-9,5.02096E-9,5.01732E-9
