Ic,Noise_1Hz,Noise_1kHz
9.33032e-06,6.96125863811328e-09,6.959797882859768e-09
9.5437e-06,6.883101530996731e-09,6.881574382289059e-09
9.76193e-06,6.805837509762509e-09,6.8042409494011344e-09
9.98512e-06,6.72945632223547e-09,6.72778719480295e-09
1.02134e-05,6.653942156847471e-09,6.6521971575903505e-09
1.04469e-05,6.579280897070424e-09,6.577456565733531e-09
1.06856e-05,6.505505520853528e-09,6.503598287975563e-09
1.09298e-05,6.432550273104981e-09,6.430556343260306e-09
1.11796e-05,6.360414350773427e-09,6.358329763881952e-09
1.1435e-05,6.2891242643444624e-09,6.2869449271144e-09
1.16963e-05,6.218623116175168e-09,6.216344684180009e-09
1.19635e-05,6.148938014996365e-09,6.146555997132911e-09
1.22367e-05,6.080067467812111e-09,6.077577183019005e-09
1.25162e-05,6.01196183922609e-09,6.009358327800893e-09
1.2802e-05,5.944647121721377e-09,5.941925256680657e-09
1.30943e-05,5.878100871392228e-09,5.8752552692189914e-09
1.33932e-05,5.812324858411553e-09,5.809349911545325e-09
1.3699e-05,5.7472784671290844e-09,5.744168246749296e-09
1.40116e-05,5.683006980457674e-09,5.679755403424155e-09
1.43314e-05,5.619451770241238e-09,5.616052365123523e-09
1.46584e-05,5.556637073453636e-09,5.553083150774916e-09
1.49928e-05,5.494547203289265e-09,5.49083175311136e-09
1.53349e-05,5.433150543167222e-09,5.429266171755796e-09
1.56847e-05,5.372470543291531e-09,5.368409607898898e-09
1.60424e-05,5.312494388501609e-09,5.30824888763068e-09
1.64082e-05,5.253210617227496e-09,5.24877217596972e-09
1.67824e-05,5.194593579579794e-09,5.189953379962013e-09
1.7165e-05,5.136665425533695e-09,5.131814353200759e-09
1.75563e-05,5.079402018973973e-09,5.074330485917736e-09
1.79564e-05,5.0228099173490565e-09,5.017507956807967e-09
1.83657e-05,4.966854248504139e-09,4.961311324408091e-09
1.87842e-05,4.911556457465805e-09,4.905761679688574e-09
1.92121e-05,4.856909884728152e-09,4.850851877092643e-09
1.96498e-05,4.80288419054762e-09,4.7965509450580366e-09
2.00974e-05,4.749487987912716e-09,4.742867029241156e-09
2.05552e-05,4.696705933218682e-09,4.689784171508696e-09
2.10233e-05,4.644546424536036e-09,4.63731026480257e-09
2.1502e-05,4.592995400677862e-09,4.585430588730413e-09
2.19915e-05,4.542050669791248e-09,4.53414233533422e-09
2.24922e-05,4.491690368601293e-09,4.483422857699133e-09
2.30042e-05,4.441924029651158e-09,4.433281091147393e-09
2.35277e-05,4.392750575875109e-09,4.38371526804498e-09
2.40631e-05,4.3441510388782656e-09,4.334705549954295e-09
2.46107e-05,4.296117413168813e-09,4.286243101575854e-09
2.51706e-05,4.248659321223426e-09,4.238336844111514e-09
2.57432e-05,4.2017608446009814e-09,4.190969889694587e-09
2.63288e-05,4.155415809015256e-09,4.144135136899993e-09
2.69276e-05,4.109626288423029e-09,4.097833782728325e-09
2.754e-05,4.064379464801421e-09,4.052051925891172e-09
2.81663e-05,4.019671145184031e-09,4.006784334471051e-09
2.88067e-05,3.975504421187712e-09,3.962033113898855e-09
2.94616e-05,3.9318688101010495e-09,3.9177865741973884e-09
3.01313e-05,3.888761477749448e-09,3.874040720506032e-09
3.08162e-05,3.846173813308205e-09,3.830785639927821e-09
3.15166e-05,3.804104230344579e-09,3.788018491937927e-09
3.22329e-05,3.76254564637608e-09,3.745730791623725e-09
3.29654e-05,3.7214974360566176e-09,3.7039205607174e-09
3.37144e-05,3.6809590752984767e-09,3.66258587416982e-09
3.44804e-05,3.64091984190789e-09,3.621714339953184e-09
3.52637e-05,3.6013803978322114e-09,3.5813051050292507e-09
3.60648e-05,3.5623317893965643e-09,3.5413474192086707e-09
3.6884e-05,3.5237755837494788e-09,3.5018412142008055e-09
3.77218e-05,3.4857042933019544e-09,3.4627770723728254e-09
3.85785e-05,3.448120157846216e-09,3.4241554711769645e-09
3.94546e-05,3.411016901445161e-09,3.3859680642533843e-09
4.03506e-05,3.3743892133304868e-09,3.348207389566043e-09
4.12669e-05,3.3382365330949677e-09,3.3108707830127166e-09
4.22039e-05,3.3025585486303053e-09,3.2739557549589937e-09
4.31621e-05,3.267351553642483e-09,3.2374562098255025e-09
4.41421e-05,3.232609053120676e-09,3.201363035210888e-09
4.51442e-05,3.198335748024437e-09,3.165678638671828e-09
4.61691e-05,3.1645229675416754e-09,3.1303914056924605e-09
4.72172e-05,3.131172869715555e-09,3.095500876490059e-09
4.82891e-05,3.098281575214033e-09,3.06100016589949e-09
4.93852e-05,3.0658518586558507e-09,3.0268892408098206e-09
5.05062e-05,3.033878023154932e-09,2.9931590338311855e-09
5.16527e-05,3.002358212890683e-09,2.959804350801926e-09
5.28251e-05,2.971296424192286e-09,2.926826061432268e-09
5.40242e-05,2.9406864602916383e-09,2.894214074790362e-09
5.52504e-05,2.9105330866206303e-09,2.8619698005385514e-09
5.65045e-05,2.8808315419633005e-09,2.8300843222250207e-09
