freq (Hz),input noise; V / sqrt(Hz) dR 0  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 1  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 2  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 3  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 4  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 5  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 6  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 7  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 8  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 9  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 10  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 11  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 12  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 13  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 14  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 15  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 16  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 17  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 18  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 19  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 20  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 21  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 22  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 23  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 24  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 25  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 26  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 27  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 28  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 29  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 30  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 31  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 32  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 33  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 34  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 35  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 36  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 37  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 38  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 39  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 40  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 41  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 42  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 43  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 44  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 45  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 46  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 47  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 48  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 49  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 50  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 51  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 52  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 53  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 54  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 55  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 56  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 57  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 58  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 59  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 60  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 61  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 62  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 63  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 64  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 65  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 66  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 67  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 68  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 69  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 70  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 71  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 72  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 73  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 74  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 75  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 76  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 77  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 78  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 79  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 80  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 81  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 82  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 83  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 84  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 85  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 86  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 87  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 88  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 89  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 90  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 91  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 92  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 93  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 94  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 95  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 96  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 97  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 98  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 99  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 100  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 101  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 102  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 103  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 104  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 105  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 106  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 107  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 108  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 109  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 110  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 111  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 112  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 113  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 114  (V / sqrt(Hz)),input noise; V / sqrt(Hz) dR 115  (V / sqrt(Hz))
100.000,1.13684E-9,1.13800E-9,1.14150E-9,1.14733E-9,1.15544E-9,1.16578E-9,1.17830E-9,1.19291E-9,1.20955E-9,1.22812E-9,1.24854E-9,1.27071E-9,1.29455E-9,1.31996E-9,1.34684E-9,1.37511E-9,1.40469E-9,1.43548E-9,1.46742E-9,1.50042E-9,1.53442E-9,1.56934E-9,1.60513E-9,1.64172E-9,1.67907E-9,1.71711E-9,1.75581E-9,1.79512E-9,1.83499E-9,1.87540E-9,1.91630E-9,1.95766E-9,1.99945E-9,2.04165E-9,2.08422E-9,2.12715E-9,2.17040E-9,2.21397E-9,2.25782E-9,2.30195E-9,2.34633E-9,2.39096E-9,2.43580E-9,2.48086E-9,2.52612E-9,2.57157E-9,2.61719E-9,2.66297E-9,2.70892E-9,2.75501E-9,2.80124E-9,2.84759E-9,2.89408E-9,2.94068E-9,2.98738E-9,3.03420E-9,3.08111E-9,3.12811E-9,3.17520E-9,3.22237E-9,3.26962E-9,3.31694E-9,3.36434E-9,3.41180E-9,3.45932E-9,3.50689E-9,3.55453E-9,3.60221E-9,3.64995E-9,3.69773E-9,3.74556E-9,3.79342E-9,3.84133E-9,3.88927E-9,3.93725E-9,3.98526E-9,4.03330E-9,4.08136E-9,4.12946E-9,4.17758E-9,4.22572E-9,4.27389E-9,4.32207E-9,4.37028E-9,4.41850E-9,4.46674E-9,4.51499E-9,4.56326E-9,4.61154E-9,4.65983E-9,4.70814E-9,4.75645E-9,4.80477E-9,4.85310E-9,4.90144E-9,4.94979E-9,4.99813E-9,5.04649E-9,5.09485E-9,5.14321E-9,5.19157E-9,5.23993E-9,5.28830E-9,5.33667E-9,5.38503E-9,5.43340E-9,5.48177E-9,5.53013E-9,5.57849E-9,5.62685E-9,5.67520E-9,5.72356E-9,5.77190E-9,5.82025E-9,5.86858E-9,5.91692E-9
125.893,1.11979E-9,1.12069E-9,1.12342E-9,1.12796E-9,1.13429E-9,1.14238E-9,1.15218E-9,1.16366E-9,1.17676E-9,1.19142E-9,1.20759E-9,1.22520E-9,1.24419E-9,1.26450E-9,1.28605E-9,1.30880E-9,1.33267E-9,1.35761E-9,1.38355E-9,1.41043E-9,1.43821E-9,1.46683E-9,1.49624E-9,1.52639E-9,1.55724E-9,1.58874E-9,1.62085E-9,1.65355E-9,1.68679E-9,1.72053E-9,1.75476E-9,1.78944E-9,1.82454E-9,1.86003E-9,1.89590E-9,1.93212E-9,1.96868E-9,2.00554E-9,2.04270E-9,2.08013E-9,2.11782E-9,2.15576E-9,2.19394E-9,2.23233E-9,2.27092E-9,2.30971E-9,2.34869E-9,2.38784E-9,2.42715E-9,2.46662E-9,2.50624E-9,2.54600E-9,2.58589E-9,2.62590E-9,2.66604E-9,2.70628E-9,2.74663E-9,2.78709E-9,2.82763E-9,2.86827E-9,2.90900E-9,2.94980E-9,2.99069E-9,3.03165E-9,3.07267E-9,3.11377E-9,3.15492E-9,3.19614E-9,3.23741E-9,3.27874E-9,3.32012E-9,3.36154E-9,3.40301E-9,3.44453E-9,3.48608E-9,3.52768E-9,3.56931E-9,3.61098E-9,3.65268E-9,3.69441E-9,3.73617E-9,3.77796E-9,3.81977E-9,3.86161E-9,3.90348E-9,3.94536E-9,3.98727E-9,4.02920E-9,4.07114E-9,4.11310E-9,4.15508E-9,4.19708E-9,4.23908E-9,4.28110E-9,4.32314E-9,4.36518E-9,4.40723E-9,4.44930E-9,4.49137E-9,4.53345E-9,4.57554E-9,4.61763E-9,4.65973E-9,4.70184E-9,4.74395E-9,4.78606E-9,4.82818E-9,4.87030E-9,4.91242E-9,4.95454E-9,4.99667E-9,5.03879E-9,5.08092E-9,5.12304E-9,5.16517E-9,5.20729E-9
158.489,1.10620E-9,1.10689E-9,1.10901E-9,1.11254E-9,1.11746E-9,1.12376E-9,1.13141E-9,1.14039E-9,1.15065E-9,1.16216E-9,1.17489E-9,1.18879E-9,1.20382E-9,1.21994E-9,1.23711E-9,1.25527E-9,1.27439E-9,1.29442E-9,1.31532E-9,1.33704E-9,1.35955E-9,1.38280E-9,1.40676E-9,1.43139E-9,1.45665E-9,1.48251E-9,1.50894E-9,1.53591E-9,1.56338E-9,1.59134E-9,1.61975E-9,1.64859E-9,1.67784E-9,1.70748E-9,1.73747E-9,1.76781E-9,1.79848E-9,1.82945E-9,1.86072E-9,1.89226E-9,1.92406E-9,1.95611E-9,1.98840E-9,2.02091E-9,2.05363E-9,2.08655E-9,2.11965E-9,2.15294E-9,2.18640E-9,2.22003E-9,2.25380E-9,2.28773E-9,2.32179E-9,2.35599E-9,2.39031E-9,2.42475E-9,2.45931E-9,2.49397E-9,2.52874E-9,2.56360E-9,2.59856E-9,2.63361E-9,2.66874E-9,2.70396E-9,2.73925E-9,2.77461E-9,2.81005E-9,2.84555E-9,2.88111E-9,2.91674E-9,2.95242E-9,2.98816E-9,3.02395E-9,3.05979E-9,3.09568E-9,3.13161E-9,3.16759E-9,3.20361E-9,3.23967E-9,3.27576E-9,3.31189E-9,3.34806E-9,3.38425E-9,3.42048E-9,3.45674E-9,3.49302E-9,3.52933E-9,3.56567E-9,3.60202E-9,3.63841E-9,3.67481E-9,3.71123E-9,3.74767E-9,3.78414E-9,3.82061E-9,3.85711E-9,3.89362E-9,3.93014E-9,3.96668E-9,4.00322E-9,4.03979E-9,4.07636E-9,4.11294E-9,4.14953E-9,4.18613E-9,4.22274E-9,4.25936E-9,4.29598E-9,4.33261E-9,4.36925E-9,4.40589E-9,4.44253E-9,4.47918E-9,4.51584E-9,4.55250E-9,4.58916E-9
199.526,1.09538E-9,1.09592E-9,1.09756E-9,1.10029E-9,1.10411E-9,1.10901E-9,1.11496E-9,1.12194E-9,1.12995E-9,1.13895E-9,1.14892E-9,1.15984E-9,1.17167E-9,1.18439E-9,1.19796E-9,1.21237E-9,1.22757E-9,1.24354E-9,1.26025E-9,1.27766E-9,1.29575E-9,1.31449E-9,1.33384E-9,1.35379E-9,1.37430E-9,1.39535E-9,1.41692E-9,1.43897E-9,1.46149E-9,1.48445E-9,1.50784E-9,1.53162E-9,1.55579E-9,1.58033E-9,1.60521E-9,1.63042E-9,1.65595E-9,1.68177E-9,1.70788E-9,1.73425E-9,1.76089E-9,1.78777E-9,1.81488E-9,1.84222E-9,1.86977E-9,1.89751E-9,1.92546E-9,1.95358E-9,1.98188E-9,2.01034E-9,2.03897E-9,2.06774E-9,2.09666E-9,2.12572E-9,2.15491E-9,2.18423E-9,2.21366E-9,2.24321E-9,2.27287E-9,2.30263E-9,2.33250E-9,2.36246E-9,2.39251E-9,2.42264E-9,2.45287E-9,2.48317E-9,2.51354E-9,2.54399E-9,2.57452E-9,2.60510E-9,2.63575E-9,2.66647E-9,2.69724E-9,2.72807E-9,2.75895E-9,2.78988E-9,2.82086E-9,2.85189E-9,2.88296E-9,2.91408E-9,2.94524E-9,2.97643E-9,3.00767E-9,3.03894E-9,3.07025E-9,3.10159E-9,3.13296E-9,3.16436E-9,3.19579E-9,3.22725E-9,3.25873E-9,3.29024E-9,3.32177E-9,3.35333E-9,3.38490E-9,3.41650E-9,3.44812E-9,3.47976E-9,3.51141E-9,3.54309E-9,3.57477E-9,3.60648E-9,3.63820E-9,3.66993E-9,3.70168E-9,3.73343E-9,3.76520E-9,3.79698E-9,3.82878E-9,3.86058E-9,3.89239E-9,3.92421E-9,3.95603E-9,3.98787E-9,4.01971E-9,4.05156E-9
251.189,1.08680E-9,1.08721E-9,1.08848E-9,1.09059E-9,1.09355E-9,1.09734E-9,1.10195E-9,1.10737E-9,1.11360E-9,1.12061E-9,1.12839E-9,1.13692E-9,1.14619E-9,1.15617E-9,1.16685E-9,1.17820E-9,1.19022E-9,1.20286E-9,1.21613E-9,1.22998E-9,1.24441E-9,1.25939E-9,1.27491E-9,1.29093E-9,1.30745E-9,1.32444E-9,1.34189E-9,1.35977E-9,1.37807E-9,1.39676E-9,1.41585E-9,1.43530E-9,1.45510E-9,1.47524E-9,1.49570E-9,1.51647E-9,1.53754E-9,1.55889E-9,1.58051E-9,1.60239E-9,1.62452E-9,1.64689E-9,1.66948E-9,1.69229E-9,1.71531E-9,1.73852E-9,1.76193E-9,1.78552E-9,1.80928E-9,1.83321E-9,1.85730E-9,1.88154E-9,1.90593E-9,1.93046E-9,1.95513E-9,1.97992E-9,2.00484E-9,2.02988E-9,2.05503E-9,2.08029E-9,2.10565E-9,2.13112E-9,2.15668E-9,2.18233E-9,2.20808E-9,2.23390E-9,2.25981E-9,2.28580E-9,2.31186E-9,2.33800E-9,2.36420E-9,2.39047E-9,2.41680E-9,2.44320E-9,2.46966E-9,2.49617E-9,2.52273E-9,2.54935E-9,2.57602E-9,2.60274E-9,2.62950E-9,2.65631E-9,2.68316E-9,2.71006E-9,2.73699E-9,2.76396E-9,2.79096E-9,2.81801E-9,2.84508E-9,2.87219E-9,2.89933E-9,2.92650E-9,2.95369E-9,2.98092E-9,3.00817E-9,3.03545E-9,3.06275E-9,3.09007E-9,3.11742E-9,3.14479E-9,3.17217E-9,3.19958E-9,3.22701E-9,3.25445E-9,3.28192E-9,3.30939E-9,3.33689E-9,3.36440E-9,3.39192E-9,3.41946E-9,3.44701E-9,3.47457E-9,3.50215E-9,3.52973E-9,3.55733E-9,3.58494E-9
316.228,1.07999E-9,1.08031E-9,1.08129E-9,1.08292E-9,1.08520E-9,1.08813E-9,1.09170E-9,1.09590E-9,1.10072E-9,1.10617E-9,1.11221E-9,1.11886E-9,1.12609E-9,1.13388E-9,1.14224E-9,1.15115E-9,1.16059E-9,1.17055E-9,1.18101E-9,1.19196E-9,1.20340E-9,1.21529E-9,1.22764E-9,1.24041E-9,1.25361E-9,1.26722E-9,1.28122E-9,1.29560E-9,1.31034E-9,1.32544E-9,1.34088E-9,1.35665E-9,1.37274E-9,1.38913E-9,1.40581E-9,1.42278E-9,1.44001E-9,1.45751E-9,1.47527E-9,1.49326E-9,1.51149E-9,1.52994E-9,1.54861E-9,1.56748E-9,1.58656E-9,1.60582E-9,1.62527E-9,1.64490E-9,1.66470E-9,1.68466E-9,1.70478E-9,1.72505E-9,1.74547E-9,1.76602E-9,1.78672E-9,1.80754E-9,1.82849E-9,1.84955E-9,1.87073E-9,1.89203E-9,1.91343E-9,1.93493E-9,1.95654E-9,1.97824E-9,2.00003E-9,2.02191E-9,2.04387E-9,2.06592E-9,2.08804E-9,2.11025E-9,2.13252E-9,2.15487E-9,2.17729E-9,2.19977E-9,2.22231E-9,2.24492E-9,2.26758E-9,2.29030E-9,2.31308E-9,2.33591E-9,2.35879E-9,2.38172E-9,2.40469E-9,2.42772E-9,2.45078E-9,2.47389E-9,2.49704E-9,2.52023E-9,2.54345E-9,2.56672E-9,2.59002E-9,2.61335E-9,2.63672E-9,2.66011E-9,2.68354E-9,2.70700E-9,2.73048E-9,2.75400E-9,2.77754E-9,2.80110E-9,2.82469E-9,2.84830E-9,2.87194E-9,2.89560E-9,2.91928E-9,2.94297E-9,2.96669E-9,2.99043E-9,3.01418E-9,3.03796E-9,3.06175E-9,3.08555E-9,3.10937E-9,3.13321E-9,3.15706E-9,3.18092E-9
398.107,1.07460E-9,1.07485E-9,1.07560E-9,1.07685E-9,1.07861E-9,1.08087E-9,1.08363E-9,1.08687E-9,1.09061E-9,1.09482E-9,1.09951E-9,1.10467E-9,1.11029E-9,1.11636E-9,1.12287E-9,1.12983E-9,1.13721E-9,1.14501E-9,1.15322E-9,1.16183E-9,1.17084E-9,1.18022E-9,1.18998E-9,1.20010E-9,1.21058E-9,1.22139E-9,1.23254E-9,1.24402E-9,1.25581E-9,1.26790E-9,1.28030E-9,1.29297E-9,1.30593E-9,1.31916E-9,1.33265E-9,1.34639E-9,1.36037E-9,1.37459E-9,1.38904E-9,1.40371E-9,1.41860E-9,1.43369E-9,1.44898E-9,1.46447E-9,1.48014E-9,1.49599E-9,1.51202E-9,1.52821E-9,1.54457E-9,1.56108E-9,1.57774E-9,1.59455E-9,1.61151E-9,1.62860E-9,1.64582E-9,1.66317E-9,1.68064E-9,1.69823E-9,1.71593E-9,1.73375E-9,1.75167E-9,1.76970E-9,1.78782E-9,1.80605E-9,1.82436E-9,1.84277E-9,1.86126E-9,1.87984E-9,1.89850E-9,1.91724E-9,1.93605E-9,1.95494E-9,1.97390E-9,1.99293E-9,2.01202E-9,2.03118E-9,2.05040E-9,2.06968E-9,2.08902E-9,2.10842E-9,2.12787E-9,2.14737E-9,2.16692E-9,2.18652E-9,2.20617E-9,2.22587E-9,2.24561E-9,2.26539E-9,2.28522E-9,2.30509E-9,2.32499E-9,2.34493E-9,2.36491E-9,2.38493E-9,2.40497E-9,2.42506E-9,2.44517E-9,2.46531E-9,2.48549E-9,2.50569E-9,2.52592E-9,2.54618E-9,2.56647E-9,2.58678E-9,2.60711E-9,2.62747E-9,2.64785E-9,2.66826E-9,2.68868E-9,2.70913E-9,2.72959E-9,2.75008E-9,2.77058E-9,2.79110E-9,2.81164E-9,2.83220E-9
501.187,1.07034E-9,1.07052E-9,1.07110E-9,1.07207E-9,1.07342E-9,1.07516E-9,1.07729E-9,1.07979E-9,1.08267E-9,1.08593E-9,1.08956E-9,1.09355E-9,1.09790E-9,1.10262E-9,1.10768E-9,1.11309E-9,1.11884E-9,1.12492E-9,1.13134E-9,1.13808E-9,1.14513E-9,1.15250E-9,1.16017E-9,1.16814E-9,1.17640E-9,1.18494E-9,1.19377E-9,1.20286E-9,1.21222E-9,1.22184E-9,1.23171E-9,1.24183E-9,1.25219E-9,1.26277E-9,1.27359E-9,1.28463E-9,1.29588E-9,1.30734E-9,1.31900E-9,1.33086E-9,1.34292E-9,1.35515E-9,1.36757E-9,1.38017E-9,1.39293E-9,1.40586E-9,1.41895E-9,1.43219E-9,1.44559E-9,1.45913E-9,1.47282E-9,1.48664E-9,1.50060E-9,1.51468E-9,1.52889E-9,1.54323E-9,1.55768E-9,1.57225E-9,1.58692E-9,1.60171E-9,1.61660E-9,1.63159E-9,1.64668E-9,1.66186E-9,1.67714E-9,1.69250E-9,1.70796E-9,1.72349E-9,1.73911E-9,1.75481E-9,1.77058E-9,1.78643E-9,1.80235E-9,1.81834E-9,1.83440E-9,1.85053E-9,1.86672E-9,1.88297E-9,1.89928E-9,1.91565E-9,1.93208E-9,1.94856E-9,1.96509E-9,1.98168E-9,1.99831E-9,2.01500E-9,2.03173E-9,2.04851E-9,2.06533E-9,2.08220E-9,2.09910E-9,2.11605E-9,2.13304E-9,2.15006E-9,2.16713E-9,2.18423E-9,2.20136E-9,2.21853E-9,2.23573E-9,2.25296E-9,2.27022E-9,2.28752E-9,2.30484E-9,2.32219E-9,2.33957E-9,2.35698E-9,2.37441E-9,2.39187E-9,2.40935E-9,2.42685E-9,2.44438E-9,2.46193E-9,2.47951E-9,2.49710E-9,2.51471E-9,2.53234E-9
630.957,1.06697E-9,1.06711E-9,1.06755E-9,1.06829E-9,1.06933E-9,1.07067E-9,1.07231E-9,1.07424E-9,1.07646E-9,1.07897E-9,1.08177E-9,1.08486E-9,1.08822E-9,1.09187E-9,1.09579E-9,1.09999E-9,1.10445E-9,1.10919E-9,1.11418E-9,1.11943E-9,1.12493E-9,1.13069E-9,1.13669E-9,1.14293E-9,1.14941E-9,1.15612E-9,1.16307E-9,1.17023E-9,1.17762E-9,1.18522E-9,1.19303E-9,1.20105E-9,1.20927E-9,1.21768E-9,1.22629E-9,1.23509E-9,1.24407E-9,1.25324E-9,1.26258E-9,1.27209E-9,1.28177E-9,1.29161E-9,1.30161E-9,1.31177E-9,1.32208E-9,1.33253E-9,1.34313E-9,1.35387E-9,1.36475E-9,1.37576E-9,1.38690E-9,1.39817E-9,1.40956E-9,1.42107E-9,1.43270E-9,1.44444E-9,1.45629E-9,1.46825E-9,1.48031E-9,1.49247E-9,1.50474E-9,1.51710E-9,1.52955E-9,1.54210E-9,1.55473E-9,1.56746E-9,1.58026E-9,1.59315E-9,1.60612E-9,1.61916E-9,1.63228E-9,1.64547E-9,1.65874E-9,1.67207E-9,1.68548E-9,1.69894E-9,1.71248E-9,1.72607E-9,1.73972E-9,1.75344E-9,1.76721E-9,1.78104E-9,1.79492E-9,1.80885E-9,1.82284E-9,1.83687E-9,1.85096E-9,1.86509E-9,1.87927E-9,1.89349E-9,1.90776E-9,1.92207E-9,1.93642E-9,1.95081E-9,1.96524E-9,1.97971E-9,1.99421E-9,2.00875E-9,2.02333E-9,2.03794E-9,2.05258E-9,2.06726E-9,2.08197E-9,2.09671E-9,2.11148E-9,2.12628E-9,2.14110E-9,2.15596E-9,2.17084E-9,2.18574E-9,2.20068E-9,2.21563E-9,2.23061E-9,2.24562E-9,2.26065E-9,2.27570E-9
794.328,1.06430E-9,1.06441E-9,1.06475E-9,1.06532E-9,1.06612E-9,1.06715E-9,1.06840E-9,1.06989E-9,1.07160E-9,1.07353E-9,1.07569E-9,1.07807E-9,1.08067E-9,1.08349E-9,1.08652E-9,1.08977E-9,1.09322E-9,1.09689E-9,1.10077E-9,1.10484E-9,1.10912E-9,1.11360E-9,1.11828E-9,1.12315E-9,1.12821E-9,1.13346E-9,1.13889E-9,1.14451E-9,1.15030E-9,1.15627E-9,1.16242E-9,1.16874E-9,1.17522E-9,1.18187E-9,1.18868E-9,1.19564E-9,1.20277E-9,1.21004E-9,1.21747E-9,1.22504E-9,1.23275E-9,1.24061E-9,1.24860E-9,1.25673E-9,1.26499E-9,1.27338E-9,1.28189E-9,1.29053E-9,1.29929E-9,1.30816E-9,1.31716E-9,1.32626E-9,1.33548E-9,1.34481E-9,1.35424E-9,1.36377E-9,1.37340E-9,1.38313E-9,1.39296E-9,1.40289E-9,1.41290E-9,1.42300E-9,1.43320E-9,1.44347E-9,1.45383E-9,1.46427E-9,1.47479E-9,1.48539E-9,1.49607E-9,1.50681E-9,1.51764E-9,1.52853E-9,1.53949E-9,1.55051E-9,1.56160E-9,1.57276E-9,1.58398E-9,1.59526E-9,1.60660E-9,1.61799E-9,1.62945E-9,1.64095E-9,1.65252E-9,1.66413E-9,1.67580E-9,1.68751E-9,1.69928E-9,1.71109E-9,1.72295E-9,1.73486E-9,1.74681E-9,1.75880E-9,1.77083E-9,1.78291E-9,1.79503E-9,1.80718E-9,1.81937E-9,1.83160E-9,1.84387E-9,1.85618E-9,1.86851E-9,1.88088E-9,1.89329E-9,1.90573E-9,1.91820E-9,1.93069E-9,1.94322E-9,1.95578E-9,1.96837E-9,1.98098E-9,1.99363E-9,2.00630E-9,2.01899E-9,2.03171E-9,2.04446E-9,2.05723E-9
